"product_line_id","name","brand","model"
"4","WTG","BenQ","WiT - Silver"
"2","LCD","BenQ","BL2711U"
"2","LCD","BenQ","SW2700PT"
"2","LCD","BenQ","BL2711U"
"6","ADO","BenQ","treVolo"
"5","ESD","BenQ","RL2455HM"
"2","LCD","BenQ","GW2280"
"2","LCD","BenQ","GL2780"
"2","LCD","BenQ","GW2270"
"2","LCD","BenQ","BL3201PH"
"1","PRJ","BenQ","TH683"
"1","PRJ","BenQ","TH683"
"4","WTG","BenQ","WiT - Blue"
"4","WTG","BenQ","WiT - Gold"
"4","WTG","BenQ","WiT - Green"
"4","WTG","BenQ","WiT - Red"
"5","ESD","BenQ ZOWIE","XL2430"
"5","ESD","BenQ","XL2411Z-2"
"5","ESD","BenQ","XL2411Z-2"
"5","ESD","BenQ","XL2411Z-2"
"5","ESD","BenQ","XL2430T"
"5","ESD","BenQ","XL2430T"
"5","ESD","BenQ","XL2730Z"
"5","ESD","BenQ","XL2730Z"
"5","ESD","BenQ ZOWIE","XL2735"
"5","ESD","BenQ ZOWIE","XL2735"
"5","ESD","BenQ ZOWIE","XL2735"
"5","ESD","BenQ ZOWIE","RL2455HM"
"5","ESD","BenQ","RL2455HM"
"5","ESD","BenQ","RL2455HM"
"5","ESD","BenQ","RL2755HM"
"5","ESD","BenQ","RL2755HM"
"5","ESD","BenQ","RL2755HM"
"2","LCD","BenQ","SW2700PT"
"2","LCD","BenQ","SW2700PT"
"2","LCD","BenQ","SW2700PT"
"2","LCD","BenQ","BL2711U"
"2","LCD","BenQ","BL2711U"
"2","LCD","BenQ","BL3200PT"
"2","LCD","BenQ","BL3200PT"
"2","LCD","BenQ","BL3200PT"
"2","LCD","BenQ","BL3201PT"
"2","LCD","BenQ","BL3201PT"
"2","LCD","BenQ","BL3201PT"
"2","LCD","BenQ","BL2420PT"
"2","LCD","BenQ","BL2420PT"
"2","LCD","BenQ","BL2420U"
"2","LCD","BenQ","BL2420U"
"2","LCD","BenQ","BL2420U"
"2","LCD","BenQ","GL2706PQ"
"2","LCD","BenQ","GL2706PQ"
"2","LCD","BenQ","GL2706PQ"
"2","LCD","BenQ","PV3200PT"
"2","LCD","BenQ","PV3200PT"
"2","LCD","BenQ","PV3200PT"
"2","LCD","BenQ","PV270"
"2","LCD","BenQ","PV270"
"2","LCD","BenQ","PV270"
"2","LCD","BenQ","VZ2470H"
"2","LCD","BenQ","VZ2470H"
"2","LCD","BenQ","VZ2470H"
"2","LCD","BenQ","VZ2770H"
"2","LCD","BenQ","VZ2770H"
"2","LCD","BenQ","GC2870H"
"2","LCD","BenQ","GC2870H"
"2","LCD","BenQ","EW2775ZH"
"2","LCD","BenQ","EW2775ZH"
"2","LCD","BenQ","PG2401PT"
"2","LCD","BenQ","PG2401PT"
"2","LCD","BenQ","PG2401PT"
"3","GGP","BenQ ZOWIE","EC1-A"
"3","GGP","BenQ ZOWIE","EC1-A"
"3","GGP","BenQ ZOWIE","EC1-A"
"3","GGP","BenQ ZOWIE","EC2-A"
"3","GGP","BenQ ZOWIE","EC2-A"
"3","GGP","BenQ ZOWIE","EC2-A"
"3","GGP","BenQ ZOWIE","FK1+"
"3","GGP","BenQ ZOWIE","FK1+"
"3","GGP","BenQ ZOWIE","FK1"
"3","GGP","BenQ ZOWIE","FK2"
"3","GGP","BenQ ZOWIE","FK2"
"3","GGP","BenQ ZOWIE","FK2"
"3","GGP","BenQ ZOWIE","ZA11"
"3","GGP","BenQ ZOWIE","ZA11"
"3","GGP","BenQ ZOWIE","ZA12"
"3","GGP","BenQ ZOWIE","ZA12"
"3","GGP","BenQ ZOWIE","ZA12"
"3","GGP","BenQ ZOWIE","G-SR"
"3","GGP","BenQ ZOWIE","GTF-X"
"3","GGP","BenQ ZOWIE","GTF-X"
"3","GGP","BenQ ZOWIE","GTF-X"
"3","GGP","BenQ ZOWIE","PTF-X"
"3","GGP","BenQ ZOWIE","PTF-X"
"3","GGP","BenQ ZOWIE","PTF-X"
"3","GGP","BenQ ZOWIE","CAMADE"
"3","GGP","BenQ ZOWIE","CAMADE"
"3","GGP","BenQ ZOWIE","CAMADE"
"1","PRJ","BenQ","HT2150ST"
"1","PRJ","BenQ","HT3050"
"1","PRJ","BenQ","HT2050"
"1","PRJ","BenQ","i500"
"1","PRJ","BenQ","HT4050"
"1","PRJ","BenQ","TH682ST"
"1","PRJ","BenQ","MW529"
"1","PRJ","BenQ","W1090"
"1","PRJ","BenQ","W1090"
"1","PRJ","BenQ","W1210ST"
"5","ESD","BenQ","XL2411Z"
"5","ESD","BenQ","XL2430T"
"5","ESD","BenQ","XL2730Z"
"5","ESD","BenQ ZOWIE","XL2735"
"5","ESD","BenQ ZOWIE","XL2735"
"5","ESD","BenQ ZOWIE","XL2735"
"2","LCD","BenQ","SW2700PT"
"2","LCD","BenQ","SW2700PT"
"2","LCD","BenQ","BL2711U"
"2","LCD","BenQ","BL3200PT"
"2","LCD","BenQ","BL3200PT"
"2","LCD","BenQ","BL3201PT"
"2","LCD","BenQ","BL3201PT"
"2","LCD","BenQ","BL3201PT"
"2","LCD","BenQ","BL2420PT"
"2","LCD","BenQ","BL2420PT"
"2","LCD","BenQ","BL2420PT"
"2","LCD","BenQ","BL2420PT"
"2","LCD","BenQ","BL2420U"
"2","LCD","BenQ","BL2420U"
"2","LCD","BenQ","PD2700Q"
"2","LCD","BenQ","PD2700Q"
"2","LCD","BenQ","GL2706PQ"
"2","LCD","BenQ","GL2706PQ"
"2","LCD","BenQ","GW2406Z"
"2","LCD","BenQ","GW2406Z"
"2","LCD","BenQ","PV3200PT"
"2","LCD","BenQ","PV270"
"2","LCD","BenQ","PV270"
"2","LCD","BenQ","VZ2470H"
"2","LCD","BenQ","VZ2470H"
"2","LCD","BenQ","VZ2470H"
"2","LCD","BenQ","VZ2770H"
"2","LCD","BenQ","VZ2770H"
"2","LCD","BenQ","GC2870H"
"2","LCD","BenQ","EW2775ZH"
"2","LCD","BenQ","PG2401PT"
"2","LCD","BenQ","PG2401PT"
"3","GGP","BenQ ZOWIE","EC1-A"
